stride␣,␣sum,␣time␣(msec),␣rate␣(MB/s)
1,␣1000000.000000,␣1.067000,␣7150.322897
2,␣1000000.000000,␣1.195000,␣6384.430570
3,␣1000000.000000,␣1.213000,␣6289.690463
4,␣1000000.000000,␣1.355000,␣5630.549470
5,␣1000000.000000,␣1.694000,␣4503.774812
6,␣1000000.000000,␣2.125000,␣3590.303309
7,␣1000000.000000,␣2.551000,␣2990.746582
8,␣1000000.000000,␣2.956000,␣2580.985971
9,␣1000000.000000,␣3.194000,␣2388.664537
10,␣1000000.000000,␣3.347000,␣2279.472522
11,␣1000000.000000,␣4.529000,␣1684.564922
12,␣1000000.000000,␣4.660000,␣1637.209127
13,␣1000000.000000,␣4.713000,␣1618.797906
14,␣1000000.000000,␣5.160000,␣1478.564832
15,␣1000000.000000,␣5.423000,␣1406.858663
16,␣1000000.000000,␣6.094000,␣1251.951843
17,␣1000000.000000,␣7.125000,␣1070.792215
18,␣1000000.000000,␣7.425000,␣1027.527883
19,␣1000000.000000,␣7.553000,␣1010.114462
20,␣1000000.000000,␣7.631000,␣999.789612
