Matrix_Size,Num_Processes,Sequential_Time,Parallel_Time,Speedup,Efficiency
500,1,0.001107,0.002890,.383044,38.304400
500,2,0.001107,0.001910,.579581,28.979000
500,4,0.001107,0.002467,.448723,11.218000
500,8,0.001107,,,
500,16,0.001107,,,
500,1,0.000995,0.002033,.489424,48.942400
500,2,0.000995,0.001670,.595808,29.790400
500,4,0.000995,0.002497,.398478,9.961900
500,8,0.000995,0.002954,.336831,4.210300
500,16,0.000995,0.003983,.249811,1.561300
1000,1,0.005279,0.014371,.367336,36.733600
1000,2,0.005279,0.007922,.666372,33.318600
1000,4,0.005279,0.008598,.613979,15.349400
1000,8,0.005279,0.010127,.521279,6.515900
1000,16,0.005279,0.012451,.423982,2.649800
1500,1,0.011739,0.033375,.351730,35.173000
1500,2,0.011739,0.015782,.743822,37.191100
1500,4,0.011739,0.013725,.855300,21.382500
1500,8,0.011739,0.021519,.545517,6.818900
1500,16,0.011739,0.025310,.463808,2.898800
2000,1,0.021328,0.048987,.435380,43.538000
2000,2,0.021328,0.029855,.714386,35.719300
2000,4,0.021328,0.061988,.344066,8.601600
2000,8,0.021328,0.033715,.632596,7.907400
2000,16,0.021328,0.041736,.511021,3.193800
2500,1,0.034996,0.089162,.392499,39.249900
2500,2,0.034996,0.046182,.757784,37.889200
2500,4,0.034996,0.040624,.861461,21.536500
2500,8,0.034996,0.063401,.551978,6.899700
2500,16,0.034996,0.052224,.670113,4.188200
