N,Num_Processes,Sequential_Time,Parallel_Time,Speedup,Efficiency,Error
1000000,1,0.003958,0.005203,.760714,76.071400,2.886579864025407e-14
1000000,2,0.003958,0.001796,2.203786,110.189300,2.886579864025407e-14
1000000,4,0.003958,0.001070,3.699065,92.476600,2.886579864025407e-14
1000000,8,0.003958,0.001146,3.453752,43.171900,2.886579864025407e-14
1000000,16,0.003958,0.001144,3.459790,21.623600,2.886579864025407e-14
10000000,1,0.039329,0.037087,1.060452,106.045200,6.217248937900877e-14
10000000,2,0.039329,0.023602,1.666341,83.317000,6.217248937900877e-14
10000000,4,0.039329,0.009158,4.294496,107.362400,6.217248937900877e-14
10000000,8,0.039329,0.009601,4.096344,51.204300,6.217248937900877e-14
10000000,16,0.039329,0.011632,3.381103,21.131800,6.217248937900877e-14
100000000,1,0.384548,0.446153,.861919,86.191900,6.332712132461893e-13
100000000,2,0.384548,0.270876,1.419645,70.982200,6.332712132461893e-13
100000000,4,0.384548,0.108653,3.539230,88.480700,6.332712132461893e-13
100000000,8,0.384548,0.102716,3.743798,46.797400,6.332712132461893e-13
100000000,16,0.384548,0.093333,4.120171,25.751000,6.332712132461893e-13
500000000,1,1.921351,2.705697,.710113,71.011300,2.042810365310288e-14
500000000,2,1.921351,0.998030,1.925143,96.257100,2.042810365310288e-14
500000000,4,1.921351,0.506873,3.790596,94.764900,2.042810365310288e-14
500000000,8,1.921351,0.440564,4.361116,54.513900,2.042810365310288e-14
500000000,16,1.921351,0.430559,4.462456,27.890300,2.042810365310288e-14
1000000000,1,3.842853,3.659993,1.049961,104.996100,1.780797731498751e-13
1000000000,2,3.842853,2.010929,1.910983,95.549100,1.780797731498751e-13
1000000000,4,3.842853,1.270917,3.023685,75.592100,1.780797731498751e-13
1000000000,8,3.842853,0.939871,4.088702,51.108700,1.780797731498751e-13
1000000000,16,3.842853,1.231379,3.120771,19.504800,1.780797731498751e-13
